Model Name,Manufacturer,Registered In,Model Date,Fuel Type,Transmission,Color,Body Type,Engine Displacement,Driven,Price
Hijet Cruise Turbo,Daihatsu,punjab,2019,Petrol,Automatic,White,Mini Van,660,114000,2450000
Swift DLX Automatic 1.3 Navigation,Suzuki,punjab,2018,Petrol,Automatic,Solid White,Hatchback,1300,68352,2865000
Corolla Altis Cruisetronic 1.8,Toyota,punjab,2009,Petrol,Automatic,Bronze,Sedan,1800,150000,3450000
City EXi,Honda,punjab,2001,Petrol,Manual,Silver,Sedan,1300,123456,1185000
Bolan VX Euro II,Suzuki,punjab,2019,Petrol,Manual,Solid White,Van,800,45000,1625000
Prius G 1.8,Toyota,punjab,2011,Hybrid,Automatic,Black,Sedan,1800,105000,3775000
Prado TZ 3.0D,Toyota,punjab,2006,Diesel,Automatic,White Pearl Crystal Shine,SUV,3000,151000,8100000
Alto VXR,Suzuki,punjab,2021,Petrol,Manual,Solid White,Hatchback,660,80000,2450000
Benz E Class,Mercedes Benz,punjab,2013,Petrol,Automatic,White,Hatchback,1800,92500,14000000
Revo,Adam,punjab,2020,Diesel,Automatic,Black,Hatchback,2700,126490,10500000
Wagon R VXL,Suzuki,punjab,2022,Petrol,Manual,Silver,Hatchback,1000,110000,2700000
Alto VXL AGS,Suzuki,punjab,2019,Petrol,Automatic,Solid White,Hatchback,660,92000,2350000
Corolla Altis X Automatic 1.6,Toyota,punjab,2022,Petrol,Automatic,Super White,Sedan,1598,50800,5800000
Sportage FWD,KIA,punjab,2024,Petrol,Automatic,Black,Crossover,2000,24500,8075000
Corolla Altis X Automatic 1.6,Toyota,punjab,2021,Petrol,Automatic,Silver Metallic,Sedan,1598,78000,5225000
Cultus Limited Edition,Suzuki,punjab,2016,Petrol,Manual,White,Hatchback,1000,82000,1625000
Alto VXL AGS,Suzuki,punjab,2019,Petrol,Automatic,Grey,Hatchback,660,54000,2490000
City 1.5L ASPIRE CVT,Honda,punjab,2022,Petrol,Automatic,Taffeta White,Compact sedan,1500,29000,4990000
Civic Turbo 1.5 VTEC CVT,Honda,punjab,2016,Petrol,Automatic,White,Sedan,1500,58000,4850000
HS 1.5 Turbo,MG,punjab,2021,Petrol,Automatic,Black Pearl,Crossover,1490,65000,6350000
Wagon R Hybrid FX,Suzuki,punjab,2019,Hybrid,Automatic,Black,Hatchback,660,175000,3800000
Premio F 1.5,Toyota,punjab,2007,Petrol,Automatic,Super White,Sedan,1500,155000,3750000
Alto VXR,Suzuki,punjab,2012,Petrol,Manual,Solid White,Hatchback,1000,98000,1270000
